pidp,a_sex,a_dvage,a_ukborn,a_racel,a_hlht,a_hlhtf,a_hlhti,a_hlhtc,a_hlwt,a_hlwts,a_hlwtp,a_hlwtk,a_vote1,a_vote2,a_vote3,a_vote4,a_vote5,a_vote6
68085007,2,71,1,1,1,4,11,-8,1,8,2,-8,1,-8,-8,2,2,2
68085687,1,61,1,1,1,5,10,-8,1,14,2,-8,2,1,-8,2,3,3
68085691,2,61,1,1,1,5,4,-8,1,10,10,-8,1,-8,-8,2,3,3
68086367,2,59,1,1,1,5,2,-8,1,14,7,-8,2,2,95,-8,-8,4
68086371,2,20,1,1,1,5,6,-8,1,16,0,-8,2,2,95,-8,-8,4
68087047,1,67,1,1,1,5,4,-8,1,10,7,-8,1,-8,-8,2,3,4
68087727,2,59,1,1,1,5,3,-8,1,13,0,-8,2,2,3,-8,3,3
68089087,1,33,2,1,1,6,2,-8,1,13,0,-8,2,2,2,-8,3,2
68089091,2,33,2,1,1,5,4,-8,1,12,0,-8,2,2,2,-8,3,3
68089767,2,36,1,1,1,5,6,-8,1,10,2,-8,2,1,-8,2,3,2
68089771,1,28,1,1,1,5,11,-8,1,13,7,-8,1,-8,-8,2,3,2
68090447,2,56,1,1,1,5,1,-8,1,11,4,-8,2,2,95,-8,-8,4
68091127,2,35,1,1,1,5,5,-8,1,12,2,-8,2,2,1,-8,3,2
68093847,2,36,1,1,1,5,8,-8,1,9,7,-8,2,2,95,-8,-8,4
68095887,1,73,1,1,1,5,11,-8,1,16,7,-8,1,-8,-8,2,2,4
68096567,2,24,1,1,1,5,4,-8,1,8,1,-8,2,2,95,-8,-8,4
68097927,2,60,1,1,1,5,3,-8,1,12,0,-8,2,2,95,-8,-8,1
68101327,2,61,1,1,1,5,7,-8,1,10,0,-8,1,-8,-8,2,1,2
68101331,1,63,1,1,1,5,4,-8,1,10,2,-8,2,1,-8,2,3,3
68101335,1,32,1,1,1,5,11,-8,1,11,8,-8,1,-8,-8,2,3,3
68102007,2,51,1,1,1,5,4,-8,1,8,1,-8,1,-8,-8,2,3,3
68102011,2,18,1,1,1,5,2,-8,1,8,5,-8,2,2,95,-8,-8,4
68102015,1,17,1,1,1,5,6,-8,1,11,1,-8,2,2,95,-8,-8,4
68102687,1,59,1,1,1,5,10,-8,1,11,0,-8,1,-8,-8,2,2,1
68103367,2,56,1,1,1,5,2,-8,1,8,0,-8,2,1,-8,3,3,3
68105407,2,42,1,1,1,5,1,-8,1,8,0,-8,1,-8,-8,2,1,1
68105411,1,30,5,13,2,-8,-8,174,2,-8,-8,69,1,-8,-8,-1,-8,1
68106087,1,59,1,1,1,5,11,-8,1,17,0,-8,1,-8,-8,2,3,2
68106091,2,40,1,1,1,5,2,-8,1,11,4,-8,2,2,95,-8,-8,4
68106767,1,67,1,1,1,5,0,-8,1,8,11,-8,1,-8,-8,2,2,2
68106771,2,70,1,1,1,4,9,-8,1,8,3,-8,1,-8,-8,2,3,2
68107447,1,38,5,13,1,5,6,-8,2,-8,-8,65,2,2,95,-8,-8,3
68107451,2,36,5,13,1,5,2,-8,2,-8,-8,55,2,2,95,-8,-8,3
68108127,1,51,5,15,1,5,7,-8,2,-8,-8,96,1,-8,-8,2,1,1
68108131,2,44,5,15,1,5,4,-8,2,-8,-8,84,1,-8,-8,2,1,2
68108135,2,18,5,15,1,5,1,-8,1,9,0,-8,2,2,95,-8,-8,4
68111527,2,28,1,1,1,5,6,-8,1,9,7,-8,2,1,-8,3,3,2
68112207,1,25,1,1,1,6,0,-8,1,11,7,-8,2,1,-8,1,3,2
68112211,2,23,1,1,1,5,5,-8,1,14,12,-8,2,2,1,-8,3,3
68114247,2,39,1,1,1,5,3,-8,1,8,4,-8,2,2,95,-8,-8,4
68115607,2,41,1,1,1,5,2,-8,2,-8,-8,68,2,2,-1,-8,-8,3
68115611,1,40,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68116287,2,26,1,1,1,5,4,-8,1,10,13,-8,2,2,95,-8,-8,4
68119687,2,69,1,1,1,5,5,-8,1,10,9,-8,1,-8,-8,2,1,2
68120367,2,58,1,1,1,4,11,-8,1,10,2,-8,2,2,95,-8,-8,4
68120371,1,58,1,1,1,5,10,-8,1,11,0,-8,1,-8,-8,1,1,1
68120375,2,29,1,1,1,5,4,-8,1,12,12,-8,2,1,-8,1,3,3
68121047,2,37,1,1,1,5,2,-8,1,9,3,-8,2,1,-8,2,3,3
68121051,1,36,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68121727,2,56,1,1,1,5,4,-8,1,10,7,-8,2,2,6,-8,3,4
68121731,1,56,1,1,1,6,0,-8,3,-8,-8,-8,2,2,95,-8,-8,4
68122407,2,46,1,1,1,5,3,-8,1,10,12,-8,1,-8,-8,2,2,2
68122411,1,17,1,1,1,5,11,-8,1,12,0,-8,2,2,96,-8,-8,3
68124447,1,65,1,1,1,5,8,-8,1,12,2,-8,1,-8,-8,1,1,2
68124451,2,66,1,1,1,5,3,-8,1,9,7,-8,1,-8,-8,1,2,2
68125127,2,43,1,1,1,4,11,-8,1,7,11,-8,1,-8,-8,2,3,3
68125131,1,18,1,1,1,5,8,-8,1,10,0,-8,1,-8,-8,2,3,2
68126487,1,43,1,1,1,6,1,-8,1,16,0,-8,2,1,-8,1,3,3
68126491,2,27,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68127847,1,62,1,1,1,5,9,-8,1,8,13,-8,1,-8,-8,2,2,2
68128527,2,27,1,1,1,5,2,-8,1,9,2,-8,2,2,95,-8,-8,3
68128531,1,30,1,1,1,5,7,-8,1,12,8,-8,2,1,-8,2,3,3
68129207,1,69,1,1,1,5,8,-8,1,12,7,-8,1,-8,-8,2,3,2
68129211,2,64,1,1,1,4,10,-8,1,12,7,-8,2,1,-8,3,3,2
68129887,1,66,1,1,1,5,10,-8,1,12,10,-8,1,-8,-8,2,2,3
68129891,2,63,5,1,1,5,5,-8,1,9,10,-8,1,-8,-8,2,3,3
68131247,2,43,1,1,1,5,8,-8,1,10,10,-8,2,2,3,-8,4,4
68131927,1,54,1,1,1,5,10,-8,1,17,0,-8,2,2,2,-8,3,3
68131931,2,50,1,1,1,5,2,-8,1,10,0,-8,2,2,2,-8,3,4
68132607,1,39,1,1,1,5,10,-8,1,19,7,-8,2,2,95,-8,-8,2
68132611,2,41,1,1,1,5,7,-8,3,-8,-8,-8,2,2,95,-8,-8,3
68134647,2,34,1,1,1,4,9,-8,1,8,7,-8,1,-8,-8,2,3,2
68135327,2,60,1,1,1,5,5,-8,1,11,8,-8,2,2,95,-8,-8,4
68136007,2,40,1,1,1,5,3,-8,1,10,0,-8,1,-8,-8,2,3,3
68138047,1,61,1,1,1,5,7,-8,1,14,0,-8,2,2,1,-8,3,2
68138051,2,55,1,1,1,5,3,-8,1,8,12,-8,1,-8,-8,2,2,2
68139407,1,39,1,1,1,5,11,-8,1,20,8,-8,2,2,3,-8,3,4
68139411,2,34,1,1,1,5,6,-8,-2,-8,-8,-8,2,1,-8,3,2,2
68140767,2,72,1,1,1,5,1,-8,1,14,0,-8,2,2,3,-8,3,4
68140771,1,49,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68141447,2,47,1,1,1,5,10,-8,1,10,11,-8,2,1,-8,2,3,3
68141451,1,50,1,1,1,6,1,-8,1,18,7,-8,2,2,2,-8,3,3
68141455,2,17,1,1,1,5,0,-8,1,9,7,-8,2,2,2,-8,3,3
68142127,2,33,1,1,1,5,7,-8,1,12,0,-8,2,2,95,-8,-8,4
68142131,1,32,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68142135,1,58,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68143487,2,59,1,1,1,5,2,-8,1,10,7,-8,2,2,3,-8,3,1
68144167,1,43,1,-2,1,5,6,-8,1,11,10,-8,2,1,-8,-2,-8,3
68144847,1,41,1,1,1,6,2,-8,1,16,0,-8,1,-8,-8,2,2,2
68144851,2,33,1,1,1,5,10,-8,1,19,0,-8,2,1,-8,2,3,3
68148247,1,61,1,1,1,6,0,-8,1,12,0,-8,2,2,1,-8,3,2
68148251,2,62,1,1,1,5,2,-8,1,9,0,-8,1,-8,-8,2,3,3
68149607,1,57,1,1,1,5,11,-8,1,14,0,-8,2,2,97,-8,3,4
68150967,1,47,1,1,1,6,4,-8,1,17,0,-8,2,1,-8,1,3,1
68150975,1,20,1,1,1,6,1,-8,2,-8,-8,150,2,2,1,-8,2,3
68153007,2,40,1,1,1,5,7,-8,1,11,7,-8,2,2,1,-8,3,4
68153011,1,42,1,1,1,6,2,-8,1,13,0,-8,2,2,1,-8,3,4
68153687,1,33,1,1,1,6,2,-8,1,17,7,-8,2,2,1,-8,3,2
68153691,2,29,1,1,1,5,8,-8,1,10,0,-8,2,2,3,-8,3,4
68154367,2,57,1,1,1,5,8,-8,1,12,10,-8,2,2,1,-8,3,2
68155047,2,51,1,1,1,5,1,-8,1,16,0,-8,2,2,3,-8,3,4
68155051,1,57,1,1,1,5,7,-8,1,8,0,-8,2,1,-8,1,3,2
68155055,2,20,1,1,1,5,2,-8,1,9,7,-8,2,2,1,-8,3,3
68155059,2,19,1,1,1,5,1,-8,1,8,12,-8,2,2,1,-8,3,3
68155063,1,16,1,1,1,5,2,-8,1,9,0,-8,2,2,96,-8,-8,2
68155727,1,40,1,1,1,5,10,-8,1,-2,-8,-8,1,-8,-8,1,3,3
68155731,2,40,1,1,1,5,10,-8,-2,-8,-8,-8,2,2,3,-8,3,1
68157087,1,64,1,1,1,6,2,-8,1,15,10,-8,2,2,1,-8,3,2
68157767,2,44,1,1,1,5,3,-8,1,8,0,-8,1,-8,-8,2,3,4
68158447,2,42,1,1,1,5,3,-8,1,8,7,-8,2,2,95,-8,-8,3
68159127,1,35,1,1,1,5,9,-8,1,11,12,-8,2,1,-8,2,3,3
68159131,2,29,5,2,1,5,2,-8,1,14,7,-8,2,2,95,-8,-8,3
68159807,2,48,1,1,1,4,11,-8,1,13,0,-8,2,2,-1,-8,-8,3
68161167,2,67,1,1,1,5,3,-8,1,8,4,-8,2,2,1,-8,3,4
68162527,2,33,1,1,1,5,5,-8,1,11,0,-8,2,1,-8,6,3,2
68162531,1,25,1,1,1,5,10,-8,1,11,7,-8,2,2,3,-8,3,1
68163887,1,24,1,1,1,5,9,-8,2,-8,-8,80,2,2,95,-8,-8,3
68163891,1,24,1,9,1,5,10,-8,2,-8,-8,63,2,1,-8,2,3,2
68164567,1,29,5,9,1,5,9,-8,2,-8,-8,67,1,-8,-8,2,3,2
68165927,2,66,5,9,1,4,10,-8,1,10,0,-8,1,-8,-8,2,1,1
68165931,1,69,5,9,1,5,9,-8,1,10,2,-8,1,-8,-8,2,1,1
68166607,2,53,1,1,1,5,4,-8,1,11,0,-8,2,2,95,-8,-8,2
68166611,1,22,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68167287,2,52,1,1,1,5,4,-8,1,8,7,-8,1,-8,-8,2,2,2
68167291,1,48,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68167967,2,31,1,9,1,5,1,-8,3,-8,-8,-8,2,2,2,-8,3,4
68167971,1,31,5,9,1,5,11,-8,2,-8,-8,76,2,2,2,-8,3,1
68173407,2,52,1,1,1,5,2,-8,1,12,5,-8,1,-8,-8,2,2,2
68173411,1,49,5,1,1,5,11,-8,1,13,7,-8,1,-8,-8,97,2,3
68174087,1,83,1,1,1,5,3,-8,1,13,0,-8,1,-8,-8,2,1,3
68174091,2,81,1,1,1,5,0,-8,1,9,2,-8,2,2,2,-8,3,3
68174767,2,24,1,1,1,5,2,-8,1,11,0,-8,2,2,95,-8,-8,4
68175447,2,45,1,1,1,5,6,-8,1,16,10,-8,2,2,2,-8,3,4
68176127,1,56,1,1,1,5,8,-8,1,11,7,-8,2,2,95,-8,-8,3
68176807,2,52,1,1,1,5,4,-8,1,10,7,-8,2,2,2,-8,3,3
68176811,1,65,1,1,1,5,8,-8,1,12,0,-8,2,2,95,-8,-8,4
68176815,1,24,1,1,1,6,1,-8,1,13,7,-8,2,2,95,-8,-8,4
68177487,1,54,1,1,1,5,8,-8,1,15,0,-8,2,2,2,-8,3,4
68180207,1,35,5,4,2,-8,-8,178,2,-8,-8,95,1,-8,-8,97,2,2
68180211,2,36,5,4,2,-8,-8,168,2,-8,-8,75,2,2,95,-8,-8,4
68180887,2,39,1,1,1,5,10,-8,1,12,3,-8,2,1,-8,1,3,2
68180891,1,37,1,1,1,5,9,-8,1,16,0,-8,2,1,-8,3,3,2
68181567,1,30,1,1,1,5,10,-8,1,9,7,-8,2,2,95,-8,-8,4
68182247,2,28,1,1,1,5,7,-8,1,10,10,-8,1,-8,-8,1,2,2
68182251,1,29,1,1,1,5,8,-8,1,13,6,-8,2,1,-8,1,3,1
68182927,2,44,1,1,1,5,1,-8,1,10,0,-8,2,2,-1,-8,-8,4
68182931,2,16,1,1,1,5,3,-8,1,7,6,-8,2,2,95,-8,-8,2
68183607,2,23,1,1,1,5,3,-8,1,13,5,-8,2,2,95,-8,-8,4
68183611,1,24,1,1,1,5,8,-8,1,11,0,-8,2,2,1,-8,1,3
68184967,1,35,1,1,1,6,1,-8,1,16,10,-8,1,-8,-8,1,2,2
68184971,2,34,1,1,1,5,7,-8,1,9,0,-8,2,1,-8,1,3,3
68185647,2,47,2,1,1,5,6,-8,1,9,8,-8,1,-8,-8,2,3,2
68187687,1,53,2,1,1,5,7,-8,1,12,7,-8,2,2,3,-8,3,3
68187691,2,50,2,1,1,5,5,-8,1,12,0,-8,2,2,3,-8,3,2
68187695,1,20,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68187699,1,16,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
